_id,uid,timestamp,activity,confidence
68aff5155928c2e13e9599a0,test004,1756353694.0,['stationary'],high
68aff5155928c2e13e9599a1,test004,1756353841.0,['stationary'],high
68aff5155928c2e13e9599a2,test004,1756353870.0,['stationary'],high
68aff5155928c2e13e9599a3,test004,1756353882.0,['stationary'],high
68aff5155928c2e13e9599a4,test004,1756353904.0,['stationary'],high
68aff5155928c2e13e9599a5,test004,1756353917.0,['stationary'],high
68aff5155928c2e13e9599a6,test004,1756353943.0,['stationary'],high
68aff5155928c2e13e9599a7,test004,1756353992.0,['stationary'],high
68aff5155928c2e13e9599a8,test004,1756354223.0,['stationary'],high
68aff5155928c2e13e9599a9,test004,1756354245.0,['stationary'],high
68aff5155928c2e13e9599aa,test004,1756354388.0,['stationary'],high
68aff5155928c2e13e9599ab,test004,1756354519.0,['stationary'],high
68aff5155928c2e13e9599ac,test004,1756354600.0,['stationary'],high
68aff5155928c2e13e9599ad,test004,1756354621.0,['stationary'],high
68aff5155928c2e13e9599ae,test004,1756354651.0,['stationary'],high
68aff5155928c2e13e9599af,test004,1756354665.0,['stationary'],high
68aff5155928c2e13e9599b0,test004,1756354696.0,['stationary'],high
68aff5155928c2e13e9599b1,test004,1756354818.0,['stationary'],high
68aff5155928c2e13e9599b2,test004,1756354873.0,['stationary'],high
68aff5155928c2e13e9599b3,test004,1756354896.0,['stationary'],high
68aff5155928c2e13e9599b4,test004,1756354950.0,['stationary'],high
68aff5155928c2e13e9599b5,test004,1756355007.0,['walking'],high
68aff5155928c2e13e9599b6,test004,1756355028.0,['stationary'],high
68aff5155928c2e13e9599b7,test004,1756355029.0,['walking'],high
68aff5155928c2e13e9599b8,test004,1756355109.0,['walking'],high
68aff5155928c2e13e9599b9,test004,1756355762.0,['walking'],high
68aff5155928c2e13e9599ba,test004,1756355958.0,['walking'],high
68aff5155928c2e13e9599bb,test004,1756356225.0,['stationary'],high
68aff5155928c2e13e9599bc,test004,1756356319.0,['stationary'],high
68aff5155928c2e13e9599bd,test004,1756356377.0,['stationary'],high
68aff5155928c2e13e9599be,test004,1756356422.0,['stationary'],high
68aff5155928c2e13e9599bf,test004,1756356452.0,['stationary'],high
68aff5155928c2e13e9599c0,test004,1756356470.0,['stationary'],high
68aff5155928c2e13e9599c1,test004,1756356540.0,['stationary'],high
68aff5155928c2e13e9599c2,test004,1756356588.0,['stationary'],high
68aff5155928c2e13e9599c3,test004,1756356640.0,['stationary'],high
68aff5155928c2e13e9599c4,test004,1756356725.0,['stationary'],high
68aff5155928c2e13e9599c5,test004,1756356736.0,['stationary'],high
68aff5155928c2e13e9599c6,test004,1756357144.0,['stationary'],high
68aff5155928c2e13e9599c7,test004,1756357164.0,['stationary'],high
68aff5155928c2e13e9599c8,test004,1756357178.0,['stationary'],high
68aff5155928c2e13e9599c9,test004,1756357217.0,['stationary'],high
68aff5155928c2e13e9599ca,test004,1756357329.0,['stationary'],high
68aff5155928c2e13e9599cb,test004,1756357376.0,['stationary'],high
68aff5155928c2e13e9599cc,test004,1756357408.0,['stationary'],high
68aff5155928c2e13e9599cd,test004,1756357424.0,['stationary'],high
68aff5155928c2e13e9599ce,test004,1756357462.0,['stationary'],high
68aff5155928c2e13e9599cf,test004,1756357502.0,['stationary'],high
68aff5155928c2e13e9599d0,test004,1756357553.0,['stationary'],high
68aff5155928c2e13e9599d1,test004,1756357582.0,['stationary'],high
68aff5155928c2e13e9599d2,test004,1756357627.0,['stationary'],high
68aff5155928c2e13e9599d3,test004,1756357655.0,['stationary'],high
68aff5155928c2e13e9599d4,test004,1756357714.0,['stationary'],high
68aff5155928c2e13e9599d5,test004,1756357789.0,['stationary'],high
68aff5155928c2e13e9599d6,test004,1756357806.0,['stationary'],high
68aff5155928c2e13e9599d7,test004,1756357884.0,['stationary'],high
68aff5155928c2e13e9599d8,test004,1756357946.0,['stationary'],high
68b01134f71410eee4615a64,test004,1756360645.0,['stationary'],high
68b01134f71410eee4615a65,test004,1756361055.0,['stationary'],high
68b01134f71410eee4615a66,test004,1756361132.0,['stationary'],high
68b01134f71410eee4615a67,test004,1756361148.0,['stationary'],high
68b01134f71410eee4615a68,test004,1756362597.0,['stationary'],high
68b01134f71410eee4615a69,test004,1756362766.0,['stationary'],high
68b01134f71410eee4615a6a,test004,1756362782.0,['stationary'],high
