_id,uid,event_id,timestamp,heart_rate,status
68afe0136ce213cee766ef99,test004,442,1756353610,104.0,SEARCHING
68afe0136ce213cee766ef9a,test004,442,1756353620,102.0,SEARCHING
68afe0136ce213cee766ef9b,test004,442,1756353630,105.0,SEARCHING
68afe0136ce213cee766ef9c,test004,442,1756353640,106.0,SEARCHING
68afe0136ce213cee766ef9d,test004,442,1756353650,103.0,SEARCHING
68afe0136ce213cee766ef9e,test004,442,1756353660,104.0,SEARCHING
68afe0136ce213cee766ef9f,test004,442,1756353670,105.0,SEARCHING
68afe0136ce213cee766efa0,test004,442,1756353680,102.0,SEARCHING
68afe0166ce213cee76737f4,test004,442,1756353690,102.0,SEARCHING
68afe0166ce213cee76737f5,test004,442,1756353700,104.0,SEARCHING
68afe0166ce213cee76737f6,test004,442,1756353710,104.0,SEARCHING
68afe0166ce213cee76737f7,test004,442,1756353720,109.0,SEARCHING
68afe0166ce213cee76737f8,test004,442,1756353730,109.0,SEARCHING
68afe0166ce213cee76737f9,test004,442,1756353740,106.0,SEARCHING
68afe0166ce213cee76737fa,test004,442,1756353750,104.0,SEARCHING
68afe0166ce213cee76737fb,test004,442,1756353760,104.0,SEARCHING
68afe0166ce213cee76737fc,test004,442,1756353770,107.0,SEARCHING
68afe0166ce213cee76737fd,test004,442,1756353780,107.0,SEARCHING
68afe0166ce213cee76737fe,test004,442,1756353790,108.0,LOCKED
68afe0166ce213cee76737ff,test004,442,1756353800,111.0,LOCKED
68afe0166ce213cee7673800,test004,442,1756353810,108.0,LOCKED
68afe0166ce213cee7673801,test004,442,1756353820,107.0,LOCKED
68afe0166ce213cee7673802,test004,442,1756353830,107.0,LOCKED
68afe0166ce213cee7673803,test004,442,1756353840,106.0,LOCKED
68afe0166ce213cee7673804,test004,442,1756353850,101.0,LOCKED
68afe0166ce213cee7673805,test004,442,1756353860,100.0,LOCKED
68afe0166ce213cee7673806,test004,442,1756353870,99.0,LOCKED
68afe0166ce213cee7673807,test004,442,1756353880,102.0,LOCKED
68afe0166ce213cee7673808,test004,442,1756353890,105.0,LOCKED
68afe0166ce213cee7673809,test004,442,1756353900,104.0,LOCKED
68afe0166ce213cee767380a,test004,442,1756353910,103.0,LOCKED
68afe0166ce213cee767380b,test004,442,1756353920,104.0,LOCKED
68afe0166ce213cee767380c,test004,442,1756353930,101.0,LOCKED
68afe0166ce213cee767380d,test004,442,1756353940,104.0,LOCKED
68afe0166ce213cee767380e,test004,442,1756353950,106.0,LOCKED
68afe0166ce213cee767380f,test004,442,1756353960,104.0,LOCKED
